review_id,review,date,sentiment_category,matched_positive_terms
12,Fui por casualidad con unos amigos... me encantó!! Las hamburguesas son un espectáculo y saben hacer de verdad el punto de la carne! Los aros de cebolla y las croquetas de carabinero... hasta luego!!! Qué ricas!! El servicio majísimo y simpáticos de verdad! Experiencia recomendadísima!,2024-01-01,Positive,['hamburguesa']
13,"Un clásico en la zona de Chamberí.

PROS: las hamburguesas están genial, tienen terraza y tienen platos sabores también (que además están buenos). Los camareros son muy majos y el servicio es rápido.

CONS: Han quitado las gyozas, lo que me parece fatal. Por lo demás, guay.",2023-10-01,Positive,"['buen', 'hamburguesa']"
14,"Mayo, 2024.-
Nah, muy bien, como siempre. No me canso de ir siempre que me apetece una hamburguesa o un buen sándwich. Además, ahora se está genial en la terraza y los camareros siguen siendo de lo más majo que hay en la zona... 🤗

Las hamburguesas están buenísimas y los postres son caseros. La música de ambiente es maravillosa.
Recomendación: Cheeseburguer (pero con el queso normal en vez de en teja)",2024-05-01,Positive,"['buen', 'hamburguesa', 'bien']"
15,"La comida me resultó bastante mala. Los canelones parecían de cartón. La carne del interior tenía una textura rara.

Además el espacio no era muy cómodo. Los manteles de tela de las mesas se pegaban a tu ropa y a la mínima que te movías podías llevártelo. Las mesas también son enanas... No es muy cómodo, la verdad.",2024-08-01,Negative,['comida']
16,"El lugar está ambientado tanto para ir con la pareja, los amigos o la familia, la música buena y la comida tiene un sabor original y propio. La hamburguesa italiana altamemte recomendable y la tarta de limón está que se sale. Encima la atención al público que he visto es de 10, en nuestro caso nos atendió Fernanda y además de atenta supo recomendarnos. Muy contentos con el sitio",2024-08-01,Positive,"['buen', 'hamburguesa', 'lugar', 'comida']"
17,"Nos ha encantado! Muy buena comida, amplia oferta, precios justos y local especial de época. Las hamburguesas brutales! Me quedo con ganas de volver a probar más cosas. Estupendo también el menú diario",2024-07-01,Positive,"['buen', 'hamburguesa', 'comida']"
19,"Tenía cierta reticencia a entrar, ya que es una cafetería de los años 60-70 que sigue igual que entonces, pero con camareros mas jóvenes, amables y guapos, que los que había por aquel entonces.
Una vez dentro, he comprobado que efectivamente conserva aquel ambiente en la decoración y mobiliario. El publico, era de familias  y gente joven en general.
Se acabó esa cafetería aburrida de las tardes con un café compartido por parejitas, que ahorraban para comprarse el pisito y los muebles, matrimonios mayores del barrio y señoras amas de casa que alternaban por las tardes con vecinas o amigas y consumían manzanilla, cafés y chocolate con churros.

La comida, abundante, y las hamburguesas eran contundentes y bien preparadas. Aunque la carne se puede mejorar.

Me ha vuelto al pasado estar allí hoy,  y que curioso, me he sentido cómoda, como en casa.",2023-11-01,Neutral,"['hamburguesa', 'comida', 'bien']"
20,"Siguiendo recomendaciones decidí visitar hoy Domingo el lugar.
Lo recomiendo 100%.

•Burrata con puerros
•Hamburguesa italiana (con mozzarella rebozada)
•Aperol Spritz y Pisco Sour preparados por Miguel.

No pudimos hacer mejor mezcla. Todo espectacular.

Atención de 10 por parte del equipo, Luis y Brenda  amables, eficientes y muy profesionales.",2024-01-01,Positive,"['hamburguesa', 'lugar']"
21,"Un lugar típico de Madrid con un toque moderno. El lugar es agradable y está muy cuidado a pesar de tener casi 60 años. La comida está muy buena, aunque el precio es algo elevado (por eso solo 4 estrellas). Tiene mucha variedad en la carta. Fuimos a desayunar y todo estaba muy rico. Lo mejor es el trato de los camareros, muy atentos, agradables y sonrientes durante todo el tiempo.",2022-01-01,Positive,"['buen', 'lugar', 'comida']"
22,"Una agradable sorpresa! La hamburguesa estaba muy rica, en mi opinión, de las mejores que probé en madrid. Además la cuenta también fue una sorpresa ya que lo precios son bastante accesibles.",2023-01-01,Positive,['hamburguesa']
23,"Lugar clásico, con encanto.
Buen ambiente y personal simpático.
Las hamburguesas son clásicas pero contundentes, buena calidad y buen producto.
La experiencia completa; lugar, servicio y comida hace que le demos un 5.
Para volver!",2023-01-01,Positive,"['buen', 'hamburguesa', 'lugar', 'comida']"
25,"Cafetería emblemática madrileña abierta por los Hermanos Díez en 1962. Cerró y se la quedó el Grupo La Musa, manteniendo su aire años 70 y su carta de cafetería tradicional. Ya había ido en otras ocasiones. Entonces pedimos croquetas y las hamburguesas con pan de cerveza, estupendas.
Ahora (diciembre 2022) cenamos burger 🍔 italiana con mozzarella empanada, carne deliciosa y tomates 🍅 asados con mayo de trufa. También un buenísimo sándwich 🥪 Club con su bacon 🥓, pollo, lechuga 🥬…
Y un sándwich 🥪 de pollo empanado con queso muy original al estar sobre pan blanco sin tostar. Muy amable el servicio y ágil.
Precio: 44€ con bebida, tres personas.",2024-04-01,Positive,['hamburguesa']
26,"EXCELENTE
El templo de Madrid.
Un lugar excelente, comida rica rica, fresco todo, las hamburguesas te llevan al cielo literal, los cócteles son nivel Diossssssss.
El Staff son súper amables y profesionales, amables y simpáticos , es uno de mis lugares preferidos del mundo en Madrid.
Una mención especial para Maxi, Ester y Will son unos capos!!!!
1000% recomendables",2023-01-01,Positive,"['hamburguesa', 'lugar', 'comida']"
27,"Buen local con terraza. Las hamburguesas están bastante bien y dejan el punto adecuado según le indicas. Los postres, como la tarta de manzana y el brownie, estaban muy buenos.",2021-01-01,Positive,"['buen', 'hamburguesa', 'bien']"
28,"Hemos disfrutado de una comida en familia. El servicio es excelente! Los camareros/as son súper atentos y agradables. Comimos menú del día y nos encantó. Platos caseros muy ricos.
¡Volveremos a probar sus hamburguesas!",2024-07-01,Positive,"['hamburguesa', 'comida']"
29,"WoW! Este establecimiento es de los más especiales de todo Madrid!!! Debe su nombre a los propietarios fundadores Hermanos Díez (HD)

Situado en la calle de Guzmán el Bueno en el barrio de Argüelles, pertenece al grupo ""La Musa"": Limbo, Ojalá, Run Run Run, La Musa (casi nada, es un grupo muy potente), pero este es especial. Es especial porque han conservado un bar clásico fundado en 1962 con la decoración de la época (suelos, madera, la barra, paredes y hasta una tele echando películas antiguas, ..., parece todo salido de Cuéntame), pero vitaminado, más bien con esteroides, anabolizantes, ...

Con una sola reseña no es suficiente, el pincho de tortilla magnífico (8,5/10), pero es que deben poner una de las mejores hamburguesas (gourmet) de todo Madrid, desayunos de tipo americano, tortitas, gofres, postres, menú del día, etc ...

Si te puedes sentar en el sillón como yo delante de los antiguos ventanales, observando el ajetreo del establecimiento, con los ventiladores de techo abanicándote y escuchando la preciosa música pop española, es una experiencia muy recomendable! Me quedaría aquí horas, ...",2023-01-01,Negative,"['hamburguesa', 'bien']"
30,"Buena atención por parte del personal, nos han sentado rápido, la comida la han traído rápido también. Los nachos de entrantes están buenos, y la hamburguesa americana también está rica, las patatas muy crujientes también. De precio 25 euros por persona, recomendable comer en la terraza",2022-01-01,Positive,"['buen', 'hamburguesa', 'comida']"
32,"Un sitio muy top, había probado las hamburguesas y están deliciosas, hoy cambié a un sándwich de pollo que no estuvo tan bueno pero en su mayoría toda la carta está muy buena por eso le pongo un 5. Es un restaurante del grupo La Musa así que normalmente todo lo que hacen está muy bien, este restaurante ya tiene bastante tiempo y siguen brindando buena calidad y eso es de agradecer.",2023-10-01,Positive,"['buen', 'hamburguesa', 'bien']"
33,"Excelente sitio para comer, precios asequibles, buen ambiente, excelente atención",2024-05-01,Positive,['buen']
34,"Muy buen lugar, todo como parado el tiempo en los años 60 o 70.. muy amables. Calidad muy buenas, los aros de cebolla muy bien y los nachos una salsa con mucho sabor en boca. Las hamburguesas todos muy bien logradas. Un lugar recomendable. Las mesas y sillas algo estrechas, las sillas para alguien como yo algo gordito, estaban incomodas. Volveremos",2020-01-01,Positive,"['buen', 'hamburguesa', 'lugar', 'bien']"
35,"Cafetería en la calle Gaztambide del grupo la musa.

He ido varias veces ya, y la peor fue la del menú de medio día. Fuimos a las 15.10, y ya no le quedaba de nada en el menú. Solo una opción de cada plato, y por tanto tuvimos que pedir de carta.

Salvo por eso, la comida muy bien, de ahí mis 4 y no 5 estrellas. La hamburguesa francesa con foie muy buena y la ensalada de burrata también. La tarta de manzana fina, es un espectáculo.

Otra cosa a tener en cuenta es lo pequeño de las mesas y los espacios, que para comida comida, se hacen incómodos.

Las meriendas muy bien.",2022-01-01,Positive,"['buen', 'hamburguesa', 'comida', 'bien']"
36,"He ido al local varias veces pero esta vez fuimos solo a tomar el postre. Como siempre estaba lleno, la comida tiene buena calidad y es abundante. Recomendada la tarta de manzana con helado, el pie de limón quizá un poco más ácido pero muy bueno también.
Volveremos la próxima a comer sus hamburguesas y sándwiches.",2023-01-01,Positive,"['buen', 'hamburguesa', 'comida']"
37,"El futuro de bares, restaurantes, cafeterías y establecimientos del ramo solamente permite dos posibilidades. Una de ellas es el cierre en el caso de no conseguir una abundante y habitual clientela. Si, por el contrario, el negocio se hace popular y los parroquianos acuden en masa, entonces la calidad del servicio empeora y el ambiente se deteriora, el condumio pierde calidad y las instalaciones precisan renovaciones, que a menudo afean el local o, al menos, rebajan sus encantos. Es la ley de la entropía hostelera, casi tan inexorable como la de la termodinámica. Esta cafetería ha pasado a encontrarse plenamente en esta segunda situación. La última vez que entré en ella para tomarme un café bien podría ser la última. Tardaron lo suyo en percatarse de que yo no era una columna o un mueble. Finalmente, me adjudicaron una de las varias mesas libres y me prohibieron ocupar otras. Debo proclamar que en este establecimiento hostelero han batido el récord de cercanía entre mesas: menos de 25 cm de separación entre la mía y cualquiera de las dos contiguas. Excepto en el metro, nunca había estado tan cerca de gente que no conocía. Si por lo menos los camareros nos hubieran presentado, habría sido menos embarazoso. Yo es que soy tímido y poco propenso al cotilleo al que puede dar pie oír nítidamente las conversaciones ajenas. Pasaron unos diez minutos hasta que tuve delante una simple taza de café. A todo esto, el estrépito que producían las numerosas cuchipandas que me rodeaban, obligaba a toda la concurrencia a levantar continuamente un poquito más la voz, deduzco que para hacer posible el diálogo. Por allí pululaban lo menos media docena de camareros, que a mí me hicieron poco caso, lo cual es comprensible por diversas razones, pero uno no termina de resignarse a la invisibilidad. La polifonía estridente de voces humanas se completaba con los sonidos del bajo de los temas musicales que debían estar sonando simultáneamente. Un olor penetrante a humedad de bodega era parte insoslayable de la experiencia sensorial. Según se incorporaban nuevos grupos de alegres consumidores, la algarabía se cargaba de decibelios y se me hacía tarea ardua no sólo la lectura, sino incluso el pensamiento. Acabé con el café en tres sorbos y escapé de aquel estruendoso tugurio que una vez fue lugar ameno de sonidos rumorosos, al que dediqué una reseña encomiástica. Maldita termodinámica social.",2023-01-01,Negative,"['lugar', 'bien']"
38,"Fui con mi familia a comer, el trato de los camareros fue estupendo, sobretodo el de Brenda, buenas recomendaciones y muy buenas hamburguesas. Sin duda repiteré.",,Positive,['hamburguesa']
39,"La calidad del menú del día ha bajado muchísimo en los últimos años, ya no merece la pena. Además todo excesivamente salado mismo comida destinada más a niños. El ambiente muy bueno y el servicio muy simpático.",2024-09-09,Neutral,['comida']
41,"El Templo de la Hamburguesas y más......
Cafetería HD, uno de mis lugares de restauración favorita de Madrid, nunca me decepciona, el staff súper amables y profesionales.
La comida rica muy excelente y los precios son acordes y justos, los Gin Tonic y cócteles son buenísimos.
El café es un 10.
Amo este sitio, amor que ya dura más de 10 años ♥️
Recomendable 100%.",2023-01-01,Positive,"['hamburguesa', 'lugar', 'comida']"
42,"Una de mis cafeterías favoritas. Me encanta la decoración retro divina, los camareros amables, las hamburguesas, los perritos calientes, el mousse de calabaza y la tarta de zanahoria. Es muy acogedor, también tiene terraza y proyectan pelis en B/N sin sonido. Me gusta ir a cualquier hora del día. Muy recomendable!",2022-01-01,Positive,['hamburguesa']
43,"Hamburguesas ricas y bien elaboradas, servicio bueno, decoración my acertada, precio correcto!! No te olvides que también puedes desayunar y esta todo rico.",2024-08-01,Positive,"['hamburguesa', 'bien']"
44,"""Cafetería"" con encanto.

Restaurante con amplia variedad de hamburguesas, totalmente recomendable.

Buen servicio y excelente staff.

La única pega que le pondría es el tamaño de las mesas, quizás demasiado poco profundas para dos comensales. Pero por lo demás es un lugar acogedor y totalmente recomendable.",2023-01-01,Positive,"['buen', 'hamburguesa', 'lugar']"
45,"Acudí para desayunar y todo fue bien. La comida estaba muy buena, cantidades aceptables, calidad de los alimentos buena y una correcta variedad de platos que pedir, con posibilidad incluso de desayuno tipo brunch.
El precio estándar y la atención por parte de los camareros fue buena, rápidos y simpáticos.
Recomiendo reservar ya que por poco nos quedamos sin mesa",2021-01-01,Positive,"['buen', 'comida', 'bien']"
46,"Una de mis cafeterías favoritas en Madrid, de estilo elegante, vintage y cinematográfico.
Tienen una barra con una amplia selección de licores y una carta de bebidas y cocktails igual de amplia.
Destaco la sangría de vino blanco, en mi opinión una de sus especialidades, así como el perrito caliente y las gyozas.
También tienen bastantes hamburguesas de gran calidad y sabor.
Sitio para repetir.",2022-01-01,Positive,['hamburguesa']
48,"Actualmente si queréis terraza tenéis que reservar desde la web. Pro lo demás un sitio perfecto para probar cualquiera de sus hamburguesas (vienen sin patatas!!) y entrantes. Nosotros pedimos un par de dobles de cerveza, aros de cebolla para compartir, uña chessburger acompañada de patatas y un café. Salimos a 25 euros por cabeza, ni caro ni barato. Muy recomendable",2020-01-01,Positive,['hamburguesa']
49,"Buen sitio con terraza (sugiero evitar los lugares cercanos a la parada del bus).
Dentro el sitio es bonito y bien decorado, además el personal es muy amable.
Ofrece menú pero recomiendo especialmente las hamburguesas, que están entre 11-15€, pero todo lo que probamos estaba rico.",2022-01-01,Positive,"['buen', 'hamburguesa', 'lugar', 'bien']"
50,"Primera vez que me como una hamburguesa de verdad, Carlos muy majo.",2024-09-02,Negative,['hamburguesa']
52,"Sencillamente GENIAL.
Comida de 10 y servicio de 11. Uno de los mejores sitios (si no el mejor) para comer una hamburguesa espectacular en Madrid. Carta muy variada y original para no quedarte con hambre. Cuentan también con una selección de destilados amplísima y una carta de cócteles clásicos muy prometedora. Recomendable 1000% para cualquier tipo de público.",2018-01-01,Positive,"['hamburguesa', 'comida']"
53,"Muy rico y bien servido. El local es muy bonito, estilo retro. No pasa de moda. Cocina abierta todo el día. Muy ricas las hamburguesas y sándwiches.",2023-01-01,Positive,"['hamburguesa', 'bien']"
54,"Hacia medio año que no íbamos y fuimos ayer a cenar. Vimos que había cambiado la carta. Han quitado opciones de comida internacional y han bajado mucho la calidad. Tomamos un tataki de atún muy escaso de acompañamiento y el pescado no parecía fresco. También yuca que la hemos tomado muchas veces acompañando la hamburguesa pero esta vez estaba tiesa, parecían palos de madera frita. La salsa no muy fresca. Para nosotros ha perdido muchísimo",2024-07-01,Negative,"['hamburguesa', 'comida']"
55,"Me encanta esta cafetería, siempre que voy el trato es bueno, los camareros son todos muy majos y serviciales, nos atendieron Carlos y Greter, la comida está buenísima y el ambiente es animado. Un sitio de 5.",2024-09-02,Positive,['comida']
56,"Sitio muy agradable,  ambientado a lo retro y con mucho gusto. La comida estaba muy rica y pedí una limonada natural que fue todo un acierto.",2024-08-01,Positive,['comida']
57,"Cafetería típica de los años 70, con la decoración de la época. Nos lo habían recomendado como las mejores hamburguesas de Madrid y desde luego que estaban increíbles. Pedimos la Eggburguer y venía con el queso gratinado, una maravilla para los sentidos. De las mejores hamburguesas que hemos probado, sin duda! Así que volveremos.",2023-11-01,Positive,['hamburguesa']
58,Muy buena la comida y la atención al cliente de 10. Nuestro camarero se llamó Carlos y nos trató genial. Un sitio para volver,2024-09-02,Positive,"['buen', 'comida']"
59,Me gustó mucho el sitio sobretodo por la decoración tan diferente y distinta con respecto a lo que hay en el barrio. Además me consta que son muchas series y películas que han utilizado esta cafetería como escenario para sus rodajes. Conserva su original diseño de cafetería de barrio salpicado de un aire cosmopolita. Hasta el plato de olivas te lo sirven en el típico platito de aluminio vintage. Calidad-precio buena,2022-01-01,Positive,['buen']
61,"Lugar agradable, carta algo justa pero que cumple con todos los gustos. Buena hamburguesa, el sándwich que pedimos nada especial, pero bueno.
La atención de las camareras muy buena.
En general muy bien, de repetir.",2019-01-01,Positive,"['buen', 'hamburguesa', 'lugar', 'bien']"
64,Es un buen sitio para comer/cenar “comida americana”. Personalmente no destacaría ninguno de los platos que consumimos. La atención fue buena.,2023-01-01,Positive,"['buen', 'comida']"
65,Un lugar normal. Un poco lentos y la comida normal. El camarero que nos atendió fue agradable.,2023-01-01,Neutral,"['lugar', 'comida']"
66,"Hamburguesas buenísimas, como siempre. El mil hojas con dulce de leche espectacular y la yuca frita está q te mueres. Procura ir con reserva, suelen estar a tope. El trato es muy bueno. El único pero son las mesas, muy pequeñas.... algo incómodo",2018-01-01,Positive,['hamburguesa']
67,"Tortilla muy sosa pero bien de textura, mi novia se pidio unas tortitas con arandanos que estaban bastante buenas. Buen servicio, cafe normal",2024-08-01,Positive,"['buen', 'bien']"
68,"Buen local donde ser sirve comida hasta tarde. Tienen una variada carta de hamburguesas, bastante buenas en general. Todas las veces que he ido me han atendido muy bien, por lo que se ha convertido en una opción de referencia cuando estoy por la zona.",2022-01-01,Positive,"['buen', 'hamburguesa', 'comida', 'bien']"
70,"Sitio mítico del barrio, con una ambientación clásica años 50-60 que sale en muchas series y anuncios que vienen aquí a rodar de vez en cuando. Su especialidad es la hamburguesa, cuya calidad ha ido variando a lo largo del tiempo. Antes era top 3 de hamburgueserías de Madrid, ahora ha desmejorado un poco (u otros locales han igualado el nivel). Igualmente, merece la pena pasarse a ver el local y tomarse, aunque sea, un café.",2024-03-01,Positive,['hamburguesa']
71,"Todo perfecto. La grandburguer, rica; la italiana, espectacular; la milanesa, buena y los aros de cebolla irresistibles!
El servicio excelente xq son majísimos!
La decoración reto con música actual tiene su punto!",2024-06-01,Positive,['buen']
72,"RECOMENDABLE!
Local vintage, con buena comida y buenos precios. Fui a tomar un brunch, super completo por un precio muy económico.
La atención es estupenda y aunque en las reservas te indican que solo puedes estar máximo 1h30, si el local está vacío no te ponen ningún inconveniente",2021-01-01,Positive,"['buen', 'comida']"
73,"Carta sencilla: sándwiches, hamburguesas, ensaladas... No es del otro mundo pero en conjunto está bien porque además la música y la decoración molan mucho . nosotros pedimos el sándwich Club y el plato vegetariano. Ambos estaban buenos aunque me quedaría con el plato vegetariano. Cantidad suficiente para quedar satisfecho. Camareros amables",2021-01-01,Positive,"['buen', 'hamburguesa', 'bien']"
74,Es un sitio al que siempre volvemos. Nos encantan las hamburguesas y el ambiente del local. Muy buen servicio y calidad-precio.,2023-12-01,Positive,"['buen', 'hamburguesa']"
75,"Con todo el dolor de mi corazón debo suspender este sitio.
Con el aspecto del típico bar de Madrid (quizá algo más fino), y con unas hamburguesas realmente buenas te encuentras otros platos insuficientes.
El poke es escaso por 12 euros y el cilantro (que no se indica) es desproporcionado.
Las gyozas... mejor no entrar en detalles...
La cerveza de la casa muy rica pero cara (más de 4 euros un tercio no merece la pena). Insisto que no es un restaurante de etiqueta, es un bar.
Y finalmente una crema de limón que sabía a una mezcla entre queso y crema estropeada. Ni rastro de limón ni de texturas cremosas, totalmente un desacierto. Incomible. No quiero ser grosero pero el aspecto habla por si solo.",2021-01-01,Negative,['hamburguesa']
76,"La comida y el servicio de Yadiel fue excelente, recomiendo el lugar para una conversa o un café con amigos.",2024-05-01,Positive,"['lugar', 'comida']"
77,"Restaurante de estilo vintage, han dejado el local como hace medio siglo.
Tienen 2 turnos para cenar el sábado (mejor reservar).
Tienen una gran cantidad de cervezas de muchos estilos distintos, y la carta de la cena es bastante amplia. Yo me pedí una hamburguesa de 180 grs, que seguramente lo tendrá antes de cocinar; pq después se queda en poco (estaba muy rica!!!!!).
El postre una tarta de manzana con helado mascarpone (brutal).",2020-01-01,Negative,['hamburguesa']
80,"Comida y servicio espectacular!!!! Súper recomendada las croquetas de carabinero y la eggburguer un acierto total.
Pablo, hendry, Maxi, Antonio y Greter love total.",2024-07-01,Positive,['comida']
81,"Yadiel, un encanto. Una maravilla y ha tratado muy bien a mi perrito en plena ola de calor le ha traído agüita dos veces sin tener que pedirlo. Volveremos.",2024-09-02,Positive,['bien']
82,Buena hamburguesa en un ambiente vintage! Machos muy ricos y la cheeseburguer también. El postre de cheesecake me fallo el sirope de fresa que le echaron por encima que estaba demasiado dulce!,2024-05-01,Neutral,"['buen', 'hamburguesa']"
85,"Hamburgueseria con encanto en pleno barrio.
Para reservar terraza ahora es necesario hacerlo vía web.
El trato por parte de todos los trabajadores siempre es de 10.
La relación calidad/precio es correcta; las hamburguesas normales vienen sin patatas (algo a tener en cuenta); pero las world si que las traen incluidas (que por cierto, las patatas están buenísimas).
La carta de cervezas también es muy amplia.
Os dejo foto de la hamburguesa gallega (buey, lacón, queso san Simón, ajada, pimientos de Padrón y, en mi caso, sin canónigos pero con huevo) BRUTAL.",2021-01-01,Positive,['hamburguesa']
86,"He ido varias veces a comer y a cenar y las hamburguesas están muy ricas, el trato es muy bueno y cercano. En esta última ocasión nos atendió Jihan y estuvimos comodísimos, muy atenta y educada.",2024-05-01,Positive,['hamburguesa']
87,"muy buena comida, un gran servicio por parte del camarero Carlos, que ha estado atento en todo momento",2024-09-02,Positive,"['buen', 'comida']"
88,"La cafetería despertó mi interés por su diseño retro. Fui a cenar y esperaba un lugar tranquilo y acogedor.
El lugar me gustó, el servicio bien, la comida ok, lamentablemente la música y el bullicio me incomodaron bastante, sonaba techno y a un volumen alto. Quería ir a cenar no ir a bailar al Voltereta. No me parece que sea la música adecuada para cenar tranquila.",2024-04-01,Neutral,"['lugar', 'comida', 'bien']"
89,"Bien de precio, servicio amable y rápido y comida decente. Muy rica la tarta de manzana.",2023-01-01,Positive,"['comida', 'bien']"
90,Excelente decoración conservando el estilo tardofranquista. Se disfruta mucho recordando tiempos atrás y se come francamente bien lo sorprendente es la rapidez con lo que sirven todo. Aconsejable 100%,2021-01-01,Positive,['bien']
91,Un local con una decoración muy chula. Las hamburguesas están bien pero no mejores que en muchos otros sitios de Madrid. Los postres normales.,2021-01-01,Neutral,"['hamburguesa', 'bien']"
92,"Una de las pocas cafeterías de estilo sesentero - mucha madera, cuero, luz tenue y una música de fondo realmente buena - que se sigue utilizando de decorado para películas. Buena selección de cervezas y cócteles, cocina impecable (aros de cebolla crujientes, ligeros y nada grasientos). Ideal para un café con leche y tortitas o para picar algo acompañando un negroni.",2023-01-01,Positive,['buen']
93,"¡INCREÍBLE! Nos atendieron súper bien y está muy bien de precio. El local está muy bien decorado y limpio. Da gusto. 2 tortitas, café, zumo natural, bagel y huevos por 15€",2022-01-01,Positive,['bien']
94,"Iba con optimismo ya que tengo aprecio a este sitio, pese a que las últimas veces que he ido y he llevado a gente, la comida no ha estado nada bien; como por ejemplo un gofre carbonizado que intentaron colarme del revés para no darme cuenta o no acordarse de añadir al plato ciertos ingredientes, que luego sí se acordaban de añadir a la cuenta… Pero por lo que veo, no mejora la cosa…

Francamente decepcionante el brunch de este sitio. A parte de haber subido de precio, antes costaba menos de 10€ y ahora 12,50€, las cantidades son realmente escasas para lo que se paga. Cuando nos han traído el plato, como podéis observar con un montón de espacio, demasiado grande para la cantidad de comida que hay… y con esas tortitas de un tamaño tan pequeño que parecía que nos estaban tomando el pelo… pues nos hemos llevado una decepción enorme. Viendo fotos del brunch en otras reseñas, claramente las tortitas eran más grandes y contundentes que las que nos pusieron a nosotros, por lo que me imagino que se debería de acabar la masa, o simplemente nos pusieron malamente unas descongeladas o industriales del supermercado… Sea como sea, eran las 12:00h del mediodía, típica hora para hacer un brunch… por lo que la excusa de que quizá no quedaban ingredientes no es válida.

De sabor como tal está bueno, sobre todo los tomates asados (o mejor dicho, la porción de tomate, singular), y la tacita de café y el zumo que acompaña al brunch, aunque tampoco vienen en demasiada cantidad. Por cierto, la taza grande que sale en la foto es una taza de leche que pedimos con Cola-Cao, no es café.

Este brunch te lo haces en casa por 5 o 6€. Literalmente.

Claramente no volveré!",2022-01-01,Negative,"['comida', 'bien']"
95,"Es un buen sitio con buen ambiente y los trabajadores son muy agradables.
Por lo que vimos, la gente viene por sus hamburguesas y gofres. Las hamburguesas están muy buenas, sin embargo los gofres tenían muy buena pinta pero sabían a sándwich total y no ha sido muy agradable para nosotros.
Otra cosa que no nos ha gustado ha sido que pedimos expresamente una mesa y al llegar estaba ocupada. Entendimos que estuviese ocupada por otra persona y pedimos otra mesa que nos pareció algo más cómoda que en la que nos habían sentado, sin embargo nos dijeron que no nos podrían sentar allí porque la había reservado alguien. Después la que habíamos reservado se quedó libre, pero nos dijeron que no podríamos sentar allí porque vendría más gente que había reservado, en toda nuestra comida no vimos aparecer a la gente de la segunda mesa y nos ha parecido que no se ha tenido en consideración nuestra situación.
A pesar de todo, no salimos con mala experiencia por el trato cordial y las hamburguesas, por ello pongo 3 estrellas.",2022-01-01,Positive,"['buen', 'hamburguesa', 'comida']"
96,"Una de las mejores burgers de Madrid. Buen ambiente, buena música de fondo y una carne espectacular. Volveré sin duda, me he quedado con ganas de probar más tipos de burgers. Le pongo 4 de 5 estrellas porque el servicio fue muy lento, aunque volveré para comprobar si ha sido algo puntual y modificar mi rating.",2017-01-01,Positive,['buen']
