author,local_guide_info,rating,review,date_text,text_backup
Samy Falo,Local Guide · 59 reseñas · 58 fotos,5 estrellas,Muy bueno la verdad! Ya hemos ido a ver varias exposiciones y todas de 10!,Hace 5 meses,"Samy Falo
Local Guide · 59 reseñas · 58 fotos






Hace 5 meses
Muy bueno la verdad! Ya hemos ido a ver varias exposiciones y todas de 10!
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No

Me gusta

Compartir"
Josep M R,Local Guide · 57 reseñas · 182 fotos,5 estrellas,"Interesante exposición sobre Egipto, del British Museum. Todo perfecto, volveré pronto ya que CaixaForum siempre tiene muy buenas exposiciones, la cafetería de diez, por poner un pero que no se puede fumar en la terraza",Hace 6 meses,"Josep M R
Local Guide · 57 reseñas · 182 fotos






Hace 6 meses
Interesante exposición sobre Egipto, del British Museum. Todo perfecto, volveré pronto ya que CaixaForum siempre tiene muy buenas exposiciones, la cafetería de diez, por poner un pero que no se puede fumar en la terraza
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
Sí

Me gusta

Compartir"
Esmeralda Acosta Cegarra,Local Guide · 86 reseñas · 68 fotos,5 estrellas,"Una experiencia increíble, las momias de Egipto... todo extraordinario... felicidades!",Hace 5 meses,"Esmeralda Acosta Cegarra
Local Guide · 86 reseñas · 68 fotos






Hace 5 meses
Una experiencia increíble, las momias de Egipto... todo extraordinario... felicidades!
Se visitó en
Día festivo
Tiempo de espera
Sin espera
Reserva recomendada
Sí
2 más

Me gusta

Compartir"
Luis MGT,Local Guide · 95 reseñas · 36 fotos,5 estrellas,"Gran exposición sobre la evolución del cómic, recomendable visita, con espacios bien delimitados y zona finado países qué los peques se lleven un recuerdo. Todo muy bien organizado, sin exceso de gente y la tienda de souvenirs con precios contenidos.",Hace 5 meses,"Luis MGT
Local Guide · 95 reseñas · 36 fotos






Hace 5 meses
Gran exposición sobre la evolución del cómic, recomendable visita, con espacios bien delimitados y zona finado países qué los peques se lleven un recuerdo. Todo muy bien organizado, sin exceso de gente y la tienda de souvenirs con precios contenidos.

Me gusta

Compartir"
The stormy twins,Local Guide · 36 reseñas · 86 fotos,5 estrellas,"En estos momentos hay dos exposiciones muy buenas, una de retratos, entre los cuales destacan varios Sorollaa y otra de colores del mundo con fotos espectaculares. Muy recomendable.",Hace 11 meses,"The stormy twins
Local Guide · 36 reseñas · 86 fotos






Hace 11 meses
En estos momentos hay dos exposiciones muy buenas, una de retratos, entre los cuales destacan varios Sorollaa y otra de colores del mundo con fotos espectaculares. Muy recomendable.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
No
0:24
2 más

1

Compartir"
Fernando Sanchez,Local Guide · 50 reseñas · 25 fotos,5 estrellas,"Bonita experiencia en la visita a Caixa Forum en la exposición de Momias de Egipto, muy satisfactorios los videos explicando los ritos de modificación, ánimo a la gente a ver dicha exposición.",Hace 4 meses,"Fernando Sanchez
Local Guide · 50 reseñas · 25 fotos






Hace 4 meses
Bonita experiencia en la visita a Caixa Forum en la exposición de Momias de Egipto, muy satisfactorios los videos explicando los ritos de modificación, ánimo a la gente a ver dicha exposición.

Me gusta

Compartir"
Jose M Rabadan,Local Guide · 57 reseñas · 123 fotos,5 estrellas,"Buenas exposiciones, como siempre, las que organiza Caixa forum y en este caso Zaragoza.
En esta ocasión, brillante exposición sobre el retrato en el s XIX, fundamentalmente pintura. De Goya a Sorolla y otros muchos autores.
Y otra exposición fotográfica cuyo eje temático son los colores.",Hace 11 meses,"Jose M Rabadan
Local Guide · 57 reseñas · 123 fotos






Hace 11 meses
Buenas exposiciones, como siempre, las que organiza Caixa forum y en este caso Zaragoza.
En esta ocasión, brillante exposición sobre el retrato en el s XIX, fundamentalmente pintura. De Goya a Sorolla y otros muchos autores.
Y otra exposición fotográfica cuyo eje temático son los colores.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
No
6 más

Me gusta

Compartir"
CAMARA Travel,Local Guide · 235 reseñas · 3.081 fotos,4 estrellas,"Bonito y moderno edificio que por la noche tiene iluminación azul y lo hace inconfundible a distancia.
Tiene taquillas de diferentes tamaños para dejar las mochilas.
Cuando fui estaba la exposición de Mamut. Es una exposición pequeña pero es interesante.
Tiene cafetería en la planta superior y menú del día.
Tiene coste de entrada salvo que seas cliente de la Caixa y lo demuestres (yo enseñé mi tarjeta de pago).",Hace 2 años,"CAMARA Travel
Local Guide · 235 reseñas · 3.081 fotos






Hace 2 años
Bonito y moderno edificio que por la noche tiene iluminación azul y lo hace inconfundible a distancia.
Tiene taquillas de diferentes tamaños para dejar las mochilas.
Cuando fui estaba la exposición de Mamut. Es una exposición pequeña pero es interesante.
Tiene cafetería en la planta superior y menú del día.
Tiene coste de entrada salvo que seas cliente de la Caixa y lo demuestres (yo enseñé mi tarjeta de pago).
8 más

4

Compartir"
ROBERTO B. V.,Local Guide · 67 reseñas · 94 fotos,5 estrellas,Siempre excelentes exposiciones. Entrada gratis para clientes de Caixa. Con bar restaurante en la última planta y tienda en planta calle. Además hacen otras actividades interesantes para toda la familia como por ejemplo algún ciclo de cine en familia.,Hace 9 meses,"ROBERTO B. V.
Local Guide · 67 reseñas · 94 fotos






Hace 9 meses
Siempre excelentes exposiciones. Entrada gratis para clientes de Caixa. Con bar restaurante en la última planta y tienda en planta calle. Además hacen otras actividades interesantes para toda la familia como por ejemplo algún ciclo de cine en familia.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
Sí

Me gusta

Compartir"
Adriana Aweras,Local Guide · 36 reseñas · 60 fotos,5 estrellas,Fantastico el espacio y muy bonito todo.,Hace 2 meses,"Adriana Aweras
Local Guide · 36 reseñas · 60 fotos






Hace 2 meses
Fantastico el espacio y muy bonito todo.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
Sí

Me gusta

Compartir"
whisteria sanchez pons,Local Guide · 26 reseñas · 32 fotos,5 estrellas,"Me encanta, salvo las exposiciones en las que se ven al mismo tiempo con escolares y profesores, coincidí en la de las momiasy no se disfruta porque los profesores hablan en alto y no te dejan centrarte en lo que ves , hablan fuerte y te van persiguiendo durante la exposición. Debería fijarse un día solo para los escolares o las mañanas , o las tardes, pero pagar para esto, no es justo",Hace 2 meses,"whisteria sanchez pons
Local Guide · 26 reseñas · 32 fotos






Hace 2 meses
Me encanta, salvo las exposiciones en las que se ven al mismo tiempo con escolares y profesores, coincidí en la de las momiasy no se disfruta porque los profesores hablan en alto y no te dejan centrarte en lo que ves , hablan fuerte y te van persiguiendo durante la exposición. Debería fijarse un día solo para los escolares o las mañanas , o las tardes, pero pagar para esto, no es justo
Se visitó en
Día laborable
Tiempo de espera
10-30 min

Me gusta

Compartir"
Sergio Martin,Local Guide · 39 reseñas · 15 fotos,5 estrellas,"Muy bien organizado, divertido y educativo.",Hace 3 meses,"Sergio Martin
Local Guide · 39 reseñas · 15 fotos






Hace 3 meses
Muy bien organizado, divertido y educativo.
Se visitó en
Día festivo
5 más

Me gusta

Compartir"
ANA,Local Guide · 34 reseñas · 1 foto,3 estrellas,"No me gusta que pagando x todas las exposiciones tengas q visitar todas el mismo día deberían buscar un sistema que te permita asistir a las exposiciones en función de tu propia organización sabido que tienen un tiempo de visita. No me parece justo tener que disponer de todo el tiempo que requiere la visita de todas el mismo momento. Quizá prefiero ir otro día a visitar otra, que he pagado y por no hacerlo el mismo día tengo que volver a pagar si quiero ver otra exposición que entra en entrada, otro día.",Hace 4 meses,"ANA
Local Guide · 34 reseñas · 1 foto






Hace 4 meses
No me gusta que pagando x todas las exposiciones tengas q visitar todas el mismo día deberían buscar un sistema que te permita asistir a las exposiciones en función de tu propia organización sabido que tienen un tiempo de visita. No me parece justo tener que disponer de todo el tiempo que requiere la visita de todas el mismo momento. Quizá prefiero ir otro día a visitar otra, que he pagado y por no hacerlo el mismo día tengo que volver a pagar si quiero ver otra exposición que entra en entrada, otro día.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No lo sé

Me gusta

Compartir"
Isabel Peyrolon,4 reseñas · 17 fotos,5 estrellas,Sitio imprescindible de visita cada 2 meses. Personal súper amable y exposiciones maravillosas. Hoy hemos ido al restaurante de la planta superior y nos ha encantado! Todo riquísimo y gran atención,Hace 9 meses,"Isabel Peyrolon
4 reseñas · 17 fotos






Hace 9 meses
Sitio imprescindible de visita cada 2 meses. Personal súper amable y exposiciones maravillosas. Hoy hemos ido al restaurante de la planta superior y nos ha encantado! Todo riquísimo y gran atención
Se visitó en
Día festivo
Tiempo de espera
Sin espera
Reserva recomendada
No
4 más

Me gusta

Compartir"
Marina Amador Morales,Local Guide · 28 reseñas · 30 fotos,5 estrellas,Hemos ido varias veces y siempre suele estar interesante. Hoy hemos visitado la exposición de 3D y nos ha encantado tanto a niños como a mayores. Además de que varias veces al año se puede entrar gratis. Está muy céntrico y tiene mucha variedad de actividades a lo largo del año. En breve repetiremos.,Hace 2 años,"Marina Amador Morales
Local Guide · 28 reseñas · 30 fotos






Hace 2 años
Hemos ido varias veces y siempre suele estar interesante. Hoy hemos visitado la exposición de 3D y nos ha encantado tanto a niños como a mayores. Además de que varias veces al año se puede entrar gratis. Está muy céntrico y tiene mucha variedad de actividades a lo largo del año. En breve repetiremos.
2 más

Me gusta

Compartir"
Ignacio Herrero,Local Guide · 54 reseñas · 1.082 fotos,4 estrellas,Todas las exposiciones son muy interesantes y bien explicadss,Hace 2 meses,"Ignacio Herrero
Local Guide · 54 reseñas · 1.082 fotos






Hace 2 meses
Todas las exposiciones son muy interesantes y bien explicadss
Se visitó en
Día laborable
Tiempo de espera
Sin espera
4 más

Me gusta

Compartir"
Carlos Marron,Local Guide · 26 reseñas · 53 fotos,5 estrellas,Buena exposición de las momias traídas del British Museum. Mucha gente pero muy bien. Seguiremos viniendo.,Hace 5 meses,"Carlos Marron
Local Guide · 26 reseñas · 53 fotos






Hace 5 meses
Buena exposición de las momias traídas del British Museum. Mucha gente pero muy bien. Seguiremos viniendo.
2 más

Me gusta

Compartir"
Victoria Gonzalez,10 reseñas,5 estrellas,"Un buen sitio para descubrir todo tipo de cosas: ciencia, arte, cultura,... La exposición sobre las momias es muy interesante. Una oportunidad única de ver arte egipcio en Zaragoza. En general todas las exposiciones, talleres y actividades son de gran calidad e interesantes para toda la familia.",Hace 3 meses,"Victoria Gonzalez
10 reseñas






Hace 3 meses
Un buen sitio para descubrir todo tipo de cosas: ciencia, arte, cultura,... La exposición sobre las momias es muy interesante. Una oportunidad única de ver arte egipcio en Zaragoza. En general todas las exposiciones, talleres y actividades son de gran calidad e interesantes para toda la familia.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
Sí

Me gusta

Compartir"
Tommy De Zaragoza,Local Guide · 1.002 reseñas · 3.802 fotos,5 estrellas,"Lugar céntrico, recinto amplio, bien organizado. Varias plantas y muchos eventos. Buenas exposiciones, bien presentadas y documentadas con libros. El personal, encantador; amables, atentos y dispuestos a explicar cosas sobre lo expuesto. Lo que más me ha gustado ha sido el escuchar, de pasada, las explicaciones que daba una guía a un grupo de niños; ojalá hubiera más como ella en todos los museos, y actividades para que los peques se familiaricen con los museos. Un sitio para frecuentar.",Hace 2 años,"Tommy De Zaragoza
Local Guide · 1.002 reseñas · 3.802 fotos






Hace 2 años
Lugar céntrico, recinto amplio, bien organizado. Varias plantas y muchos eventos. Buenas exposiciones, bien presentadas y documentadas con libros. El personal, encantador; amables, atentos y dispuestos a explicar cosas sobre lo expuesto. Lo que más me ha gustado ha sido el escuchar, de pasada, las explicaciones que daba una guía a un grupo de niños; ojalá hubiera más como ella en todos los museos, y actividades para que los peques se familiaricen con los museos. Un sitio para frecuentar.
37 más

Me gusta

Compartir"
Jose Manuel Perún Calvo,Local Guide · 711 reseñas · 283 fotos,5 estrellas,"Ha sido nuestra primera visita siendo cliente de CaixaBank y me ha encantado. Iba por la exposición de las momias y también vi la de los espías y salimos muy contentos. Buenas instalaciones, totalmente accesibles y la cafetería de la última planta es muy agradable. Totalmente recomendable.",Hace 3 meses,"Jose Manuel Perún Calvo
Local Guide · 711 reseñas · 283 fotos






Hace 3 meses
Ha sido nuestra primera visita siendo cliente de CaixaBank y me ha encantado. Iba por la exposición de las momias y también vi la de los espías y salimos muy contentos. Buenas instalaciones, totalmente accesibles y la cafetería de la última planta es muy agradable. Totalmente recomendable.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No

Me gusta

Compartir"
César Angel Catalán,Local Guide · 314 reseñas · 4.656 fotos,4 estrellas,Tener un Caixa forum en Zaragoza es estar a un nivel cultural muy especial. Parece que Caixa ha puesto a Zaragoza en el mapa. Tener la oportunidad de ver exposiciones de gran nivel que sólo podíamos ver en otras ciudades es una buena noticia. Si eres cliente de Caixa la entrada es gratuita lo que es un plus. No está en un lugar cercano al centro pero como Zaragoza es una ciudad de pequeña dimensión se llega en un suspiro,Hace 11 meses,"César Angel Catalán
Local Guide · 314 reseñas · 4.656 fotos






Hace 11 meses
Tener un Caixa forum en Zaragoza es estar a un nivel cultural muy especial. Parece que Caixa ha puesto a Zaragoza en el mapa. Tener la oportunidad de ver exposiciones de gran nivel que sólo podíamos ver en otras ciudades es una buena noticia. Si eres cliente de Caixa la entrada es gratuita lo que es un plus. No está en un lugar cercano al centro pero como Zaragoza es una ciudad de pequeña dimensión se llega en un suspiro
41 más

1

Compartir"
Tomás cibertomas,Local Guide · 307 reseñas · 664 fotos,5 estrellas,"Excelente edificación, moderna, donde hacer exposiciones muy cómodas para el visitante. Vimos la.de las momias de Egipto, bien organizada y muy interesante. Hay visita guiada",Hace 4 meses,"Tomás cibertomas
Local Guide · 307 reseñas · 664 fotos






Hace 4 meses
Excelente edificación, moderna, donde hacer exposiciones muy cómodas para el visitante. Vimos la.de las momias de Egipto, bien organizada y muy interesante. Hay visita guiada

Me gusta

Compartir"
Maria Camino Lacoma,Local Guide · 32 reseñas · 39 fotos,4 estrellas,"Centro de exposiciones bastante céntrico, se puede llegar en bus ( varias líneas dejan cerca) o andando. Exposiciones y actividades variadas para todos los públicos, tienen bastante calidad.
Los precios en la cafetería son un poco caros, sobre todo el menú del restaurante y la tienda de recuerdos también es cara.",Hace 5 meses,"Maria Camino Lacoma
Local Guide · 32 reseñas · 39 fotos






Hace 5 meses
Centro de exposiciones bastante céntrico, se puede llegar en bus ( varias líneas dejan cerca) o andando. Exposiciones y actividades variadas para todos los públicos, tienen bastante calidad.
Los precios en la cafetería son un poco caros, sobre todo el menú del restaurante y la tienda de recuerdos también es cara.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No

Me gusta

Compartir"
Jose Maria Gimeno Arbal,Local Guide · 76 reseñas · 201 fotos,4 estrellas,"Se trata de un lugar que reúne cultura y gastronomía. En lo referente a la cultura, siempre vamos a encontrar interesantes exposiciones de todo tipo que se van sucediendo durante todo el año. Esporádicamente, también se puede disfrutar de proyecciones de cine y documentales, bien al aire libre con el buen tiempo, o en la cómoda sala auditorio del Centro.
Suelo ir con cada nueva exposición, esta vez he visto la de Nikola Tesla, el genio de la electricidad y como siempre me ha satisfecho plenamente. Luego, como complemento, se puede hacer una reserva en el restaurante del Centro donde vamos a encontrar y degustar unos menús muy interesantes; uno de ellos siempre lleva el nombre del tema de la exposición del momento y todos con una muy buena relación calidad/precio.",Hace un año,"Jose Maria Gimeno Arbal
Local Guide · 76 reseñas · 201 fotos






Hace un año
Se trata de un lugar que reúne cultura y gastronomía. En lo referente a la cultura, siempre vamos a encontrar interesantes exposiciones de todo tipo que se van sucediendo durante todo el año. Esporádicamente, también se puede disfrutar de proyecciones de cine y documentales, bien al aire libre con el buen tiempo, o en la cómoda sala auditorio del Centro.
Suelo ir con cada nueva exposición, esta vez he visto la de Nikola Tesla, el genio de la electricidad y como siempre me ha satisfecho plenamente. Luego, como complemento, se puede hacer una reserva en el restaurante del Centro donde vamos a encontrar y degustar unos menús muy interesantes; uno de ellos siempre lleva el nombre del tema de la exposición del momento y todos con una muy buena relación calidad/precio.

Me gusta

Compartir"
Romén Rodríguez,Local Guide · 52 reseñas · 9 fotos,5 estrellas,"La mejor caja de zapatos para alejarse del calor cerca de la estación, aunque pareciera que tiene una exposición algo escueta para tan amplio lugar; concluiría que está algo desaprovechado el espacio pero el ambiente es muy agradable y moderno",Hace 4 semanas,"Romén Rodríguez
Local Guide · 52 reseñas · 9 fotos






Hace 4 semanas
La mejor caja de zapatos para alejarse del calor cerca de la estación, aunque pareciera que tiene una exposición algo escueta para tan amplio lugar; concluiría que está algo desaprovechado el espacio pero el ambiente es muy agradable y moderno
Se visitó en
Día festivo
Tiempo de espera
Sin espera
Reserva recomendada
No

Me gusta

Compartir"
Melina Maidana,23 reseñas · 14 fotos,5 estrellas,"Estuvimos en la exposición del espionaje en junio de 2024 y estuvo buenísima. Muy entretenida y con una interesante moraleja al final.
100% recomendada.

A pesar de entrar un día que era gratuito, no había casi gente.

Las trabajadoras fueron muy amables.",Hace 2 meses,"Melina Maidana
23 reseñas · 14 fotos






Hace 2 meses
Estuvimos en la exposición del espionaje en junio de 2024 y estuvo buenísima. Muy entretenida y con una interesante moraleja al final.
100% recomendada.

A pesar de entrar un día que era gratuito, no había casi gente.

Las trabajadoras fueron muy amables.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
Sí

Me gusta

Compartir"
Jon Golpe,Local Guide · 369 reseñas · 2.481 fotos,5 estrellas,El museo está muy bién. Las exposiciones son muy interesantes. El edificio con diseño moderno y sobretodo útil. Tiene una terraza espectacular y una cafetería con patio-terraza muy acogedores.,Hace 2 años,"Jon Golpe
Local Guide · 369 reseñas · 2.481 fotos






Hace 2 años
El museo está muy bién. Las exposiciones son muy interesantes. El edificio con diseño moderno y sobretodo útil. Tiene una terraza espectacular y una cafetería con patio-terraza muy acogedores.
35 más

Me gusta

Compartir"
