author,local_guide_info,rating,review,date,price,food,service,atmosphere,recommendations,text_backup
Silvia Beunza,Local Guide · 238 reseñas · 1.149 fotos,4 estrellas,"🏢ESPACIO/AMBIENTE: restaurante con varias mesas en la terraza pero no se puede más de 6 personas por mesa y luego hay que pedir dentro .

⚠️ATENCIÓN/SERVICIO: Sirven rápido y son muy amables, y te ponen unas tapas gratis muy abundantes con la bebida.

🥙COMIDA: fuimos a tomar algo varios amigos y las tapas que ponen son gratis y están buenas. Nos toco una de macarrones que estaban muy bien, en otra ronda unas bravas y también croquetas y embutidos varios. Las jarras de cerveza estaban por 4,8€ y el tinto de verano 3,1€.

⚖️CALIDAD-PRECIO: con respecto a la rcp me parece muy buena.

💯NOTA: le ponemos un 8,5.",Hace un año,1-10 €,4,4,4,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Tapa Surtida y Apertivo","Silvia Beunza
Local Guide · 238 reseñas · 1.149 fotos






Hace un año
🏢ESPACIO/AMBIENTE: restaurante con varias mesas en la terraza pero no se puede más de 6 personas por mesa y luego hay que pedir dentro .

⚠️ATENCIÓN/SERVICIO: Sirven rápido y son muy amables, y te ponen unas tapas gratis muy abundantes con la bebida.

🥙COMIDA: fuimos a tomar algo varios amigos y las tapas que ponen son gratis y están buenas. Nos toco una de macarrones que estaban muy bien, en otra ronda unas bravas y también croquetas y embutidos varios. Las jarras de cerveza estaban por 4,8€ y el tinto de verano 3,1€.

⚖️CALIDAD-PRECIO: con respecto a la rcp me parece muy buena.

💯NOTA: le ponemos un 8,5.
Precio por persona
1-10 €
Comida: 4
Servicio: 4
Ambiente: 4
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Tapa Surtida y Apertivo

11

Compartir"
Luis Colina,Local Guide · 242 reseñas · 1.816 fotos,5 estrellas,Muy buen lugar para bebidas y tapas. En ocasiones tienes que esperar varios minutos para conseguir mesa.,Hace 4 meses,,4,5,4,,"Luis Colina
Local Guide · 242 reseñas · 1.816 fotos






Hace 4 meses
Muy buen lugar para bebidas y tapas. En ocasiones tienes que esperar varios minutos para conseguir mesa.
Comida: 4
Servicio: 5
Ambiente: 4

Me gusta

Compartir"
Michelle Mauser,Local Guide · 123 reseñas · 288 fotos,4 estrellas,"Vimos en tiktok que tenían tapas “XL” y decidimos ir a probarlo. Pagamos 6,60 por 2 tintos de verano y nos dieron patatas bravas, 2 hamburguesas bebés y 2 empanadas ✨ Todo estaba súper rico! Tienes que ir tú a la barra a pedir y pagar, luego ya puedes ir a sentarte a la terraza. Definitivamente volvería.",Hace 6 meses,1-10 €,5,5,4,,"Michelle Mauser
Local Guide · 123 reseñas · 288 fotos






Hace 6 meses
Vimos en tiktok que tenían tapas “XL” y decidimos ir a probarlo. Pagamos 6,60 por 2 tintos de verano y nos dieron patatas bravas, 2 hamburguesas bebés y 2 empanadas ✨ Todo estaba súper rico! Tienes que ir tú a la barra a pedir y pagar, luego ya puedes ir a sentarte a la terraza. Definitivamente volvería.
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 4

5

Compartir"
Natalia C.F.,Local Guide · 263 reseñas · 509 fotos,3 estrellas,"No esta mal. Por el precio ponen una tapa grande, aunque las patatas estaban un pelin gomosillas, el sandwitch estaba bueno",Hace un mes,,3,3,3,,"Natalia C.F.
Local Guide · 263 reseñas · 509 fotos






Hace un mes
No esta mal. Por el precio ponen una tapa grande, aunque las patatas estaban un pelin gomosillas, el sandwitch estaba bueno
Comida: 3
Servicio: 3
Ambiente: 3

Me gusta

Compartir"
eduardo latorre palomares,Local Guide · 261 reseñas · 99 fotos,5 estrellas,"Increíble la cantidad y calidad de sus tapas, el trato exquisito, el precio irrisorio para la cantidad que ponen con un par de cañas comí ,lógico que haya cola para pedir..",Hace 3 meses,1-10 €,5,5,5,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Croquetas de Jamon Y Queso y Tapa de Paella","eduardo latorre palomares
Local Guide · 261 reseñas · 99 fotos






Hace 3 meses
Increíble la cantidad y calidad de sus tapas, el trato exquisito, el precio irrisorio para la cantidad que ponen con un par de cañas comí ,lógico que haya cola para pedir..
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Croquetas de Jamon Y Queso y Tapa de Paella

Me gusta

Compartir"
angel espinosa,Local Guide · 369 reseñas · 703 fotos,1 estrella,"Abrieron a las 19.30, había gente esperando ya en la puerta. Nos sentamos en las mesas de la terraza, las cuales está totalmente prohibido mover, si las mueves el camarero se acerca con malos modos a decirlo y no hay opción. Máximo 6 personas por mesa, si sois más, en mesas separadas, y sin opción de moverlas como dije.
Para pedir hay que ir a la barra, donde te cobra y te deja las bebidas, tú has de llevarlas a la mesa (según indican es un local con autoservicio). Las tapas son muy grandes y generosas, macarrones, patatas braviolis, empanadas, montados de tortilla. De vez en cuando el camarero sale a recoger las mesas y en la barra se queda el que sirve las tapas que es bastante lento. En general no me gusta el sistema de trabajo que tienen ni las formas un poco bruscas, aunque el camarero principal al menos te da las gracias.
Un sabor un poco agridulce.",Hace un año,1-10 €,4,2,1,Patatas Bravas O Alioli y Tapas Y Cervezas,"angel espinosa
Local Guide · 369 reseñas · 703 fotos






Hace un año
Abrieron a las 19.30, había gente esperando ya en la puerta. Nos sentamos en las mesas de la terraza, las cuales está totalmente prohibido mover, si las mueves el camarero se acerca con malos modos a decirlo y no hay opción. Máximo 6 personas por mesa, si sois más, en mesas separadas, y sin opción de moverlas como dije.
Para pedir hay que ir a la barra, donde te cobra y te deja las bebidas, tú has de llevarlas a la mesa (según indican es un local con autoservicio). Las tapas son muy grandes y generosas, macarrones, patatas braviolis, empanadas, montados de tortilla. De vez en cuando el camarero sale a recoger las mesas y en la barra se queda el que sirve las tapas que es bastante lento. En general no me gusta el sistema de trabajo que tienen ni las formas un poco bruscas, aunque el camarero principal al menos te da las gracias.
Un sabor un poco agridulce.
Precio por persona
1-10 €
Comida: 4
Servicio: 2
Ambiente: 1
Platos recomendados
Patatas Bravas O Alioli y Tapas Y Cervezas
5 más

11

Compartir"
Heidi Ibañez,9 reseñas · 10 fotos,5 estrellas,"Con la bebida te ponen tapas enormes, súper recomendado. Volveremos a repetir y sin duda lo recomendaré!",Hace 3 meses,1-10 €,4,4,,,"Heidi Ibañez
9 reseñas · 10 fotos






Hace 3 meses
Con la bebida te ponen tapas enormes, súper recomendado. Volveremos a repetir y sin duda lo recomendaré!
Precio por persona
1-10 €
Comida: 4
Servicio: 4

Me gusta

Compartir"
Indira Galarreta,Local Guide · 72 reseñas · 23 fotos,1 estrella,"La califican va, porque vine por primera vez, pedí una vino blanco y me dieron una tapa, paella (foto), pregunté si tenía mariscos o solo era de pollo, el camarero me dijo que tenía mariscos, le pedí que si por favor podría cambiarme de tapa, que no como mariscos. Me dijo, NO! Es la tapa que sale.
Fatal servicio.",Hace 6 meses,1-10 €,4,1,4,,"Indira Galarreta
Local Guide · 72 reseñas · 23 fotos






Hace 6 meses
La califican va, porque vine por primera vez, pedí una vino blanco y me dieron una tapa, paella (foto), pregunté si tenía mariscos o solo era de pollo, el camarero me dijo que tenía mariscos, le pedí que si por favor podría cambiarme de tapa, que no como mariscos. Me dijo, NO! Es la tapa que sale.
Fatal servicio.
Precio por persona
1-10 €
Comida: 4
Servicio: 1
Ambiente: 4

1

Compartir"
daniel lopez,1 reseña,1 estrella,"Horrible experiencia. Lleve a mi novia a beber una cerveza, y sí, una cerveza es barata y te ponen mucha cantidad en las tapas pero la comida no está muy buena que digamos, solo vale para llenar el estómago bebiendo. El trato pésimo, tienen un camarero en la barra que nos ha tratado fatal, super borde, y ni siquiera tenía el bar hasta arriba. Os recomiendo muchísimo antes otros bares de este tipo como el tigre o la petisqueria.",hace 4 días,,1,1,1,,"daniel lopez
1 reseña






hace 4 días
NUEVA
Horrible experiencia. Lleve a mi novia a beber una cerveza, y sí, una cerveza es barata y te ponen mucha cantidad en las tapas pero la comida no está muy buena que digamos, solo vale para llenar el estómago bebiendo. El trato pésimo, tienen un camarero en la barra que nos ha tratado fatal, super borde, y ni siquiera tenía el bar hasta arriba. Os recomiendo muchísimo antes otros bares de este tipo como el tigre o la petisqueria.
Comida: 1
Servicio: 1
Ambiente: 1

Me gusta

Compartir"
Rubén Galve,9 reseñas · 8 fotos,5 estrellas,"Totalmente recomendable, tapas enormes con la cerveza. La ración de bravas increíble.",Hace un mes,1-10 €,5,5,5,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapa de Paella","Rubén Galve
9 reseñas · 8 fotos






Hace un mes
Totalmente recomendable, tapas enormes con la cerveza. La ración de bravas increíble.
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapa de Paella

Me gusta

Compartir"
Noelia Siñeriz,7 reseñas · 8 fotos,5 estrellas,"Excelente! Te atienden rápido, la comida muy rica y abundante...terminamos llenisimos.
Gran lugar
Lo recomendamos 🇦🇷",Hace 2 meses,1-10 €,5,5,5,,"Noelia Siñeriz
7 reseñas · 8 fotos






Hace 2 meses
Excelente! Te atienden rápido, la comida muy rica y abundante...terminamos llenisimos.
Gran lugar
Lo recomendamos 🇦🇷
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Silvia Arroba,Local Guide · 128 reseñas · 63 fotos,4 estrellas,"Tapas de batalla pero ricas y sorprendentemente abundantes. Merece la pena por el precio. Faltan unos cuantos taburetes en la barra y en las mesas de dentro. Habríamos pedido alguna caña más, pero estábamos cansados de estar de pie. El horario es totalmente aleatorio. Hemos intentado ir otros días y lo hemos encontrado cerrado.",Hace 7 meses,1-10 €,4,4,4,,"Silvia Arroba
Local Guide · 128 reseñas · 63 fotos






Hace 7 meses
Tapas de batalla pero ricas y sorprendentemente abundantes. Merece la pena por el precio. Faltan unos cuantos taburetes en la barra y en las mesas de dentro. Habríamos pedido alguna caña más, pero estábamos cansados de estar de pie. El horario es totalmente aleatorio. Hemos intentado ir otros días y lo hemos encontrado cerrado.
Precio por persona
1-10 €
Comida: 4
Servicio: 4
Ambiente: 4

2

Compartir"
Javier Sanchez,Local Guide · 51 reseñas · 7 fotos,5 estrellas,"Bar universitario , muy barato y con unas Tapas/Raciones increíble para el precio.
Las tapas son generalmente poco elaboradas pero están buenas.
Buen sitio si quieres comer de tapas y charlas con amigos.",Hace 9 meses,1-10 €,3,2,5,Tapas Y Dobles de Cerveza,"Javier Sanchez
Local Guide · 51 reseñas · 7 fotos






Hace 9 meses
Bar universitario , muy barato y con unas Tapas/Raciones increíble para el precio.
Las tapas son generalmente poco elaboradas pero están buenas.
Buen sitio si quieres comer de tapas y charlas con amigos.
Precio por persona
1-10 €
Comida: 3
Servicio: 2
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza

1

Compartir"
Ángel Vicente Sánchez Vatter,Local Guide · 17 reseñas · 411 fotos,5 estrellas,"Lugar para tomar unas cervezas y salir comido, tapas espectaculares gratis con la bebida",Hace 3 meses,1-10 €,5,5,,,"Ángel Vicente Sánchez Vatter
Local Guide · 17 reseñas · 411 fotos






Hace 3 meses
Lugar para tomar unas cervezas y salir comido, tapas espectaculares gratis con la bebida
Precio por persona
1-10 €
Comida: 5
Servicio: 5

Me gusta

Compartir"
cesar landinez,9 reseñas · 1 foto,5 estrellas,El mejor servicio el aperitivo alucine muy buen sitio lo recomiendo 200%,Hace 2 meses,,5,5,5,,"cesar landinez
9 reseñas · 1 foto






Hace 2 meses
El mejor servicio el aperitivo alucine muy buen sitio lo recomiendo 200%
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Rocío Campo,Local Guide · 67 reseñas · 148 fotos,1 estrella,"Fuimos a este sitio gracias a las recomendaciones virales que le da tiktok.

El bar es pequeño, por lo que casi segura, te tocará sentarte en la terraza. Lugar donde si sois más de 6 no sois bienvenidos, no se pueden juntar mesas o estar en grupos de mas de 6.

Nosotros, que éramos 8, vimos estás reglas y nos sentamos en dos mesas diferentes para cumplir con las normas del lugar, sin ni siquiera moverlas para juntarlas.

El verdadero punto negativo fue el trato de sus camareros. El lugar es un sitio de autoservicio, por lo que cuando fuimos a la barra a pedir las bebidas, el camarero nos trató bastante mal, dejando caer entre lineas que no cumplíamos con las normas de su lugar por el hecho de ser 8 (por eso comenté que si sois mas de 6 no sois bienvenidos) y casi parecía que se negaba a atendernos. Todo el rato hablando con un tono algo agresivo.

A la hora de pagar, tampoco cumplen con los precios que aparecen en sus carteles ya que hizo un cálculo de lo que nos pareció de memoria y nos cobró un par de euros de más que si se sumaban los precios. Nos fiamos de su cabeza (muy mal hecho), así que si decides ir, comprueba muy bien ese cálculo antes de pagar. Tampoco dan ticket.

Lo único bueno que tiene este bar es que por 3.80 tienes un doble con una tapa grande.",Hace 7 meses,1-10 €,,,,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Tapa Surtida y Tapas Y Cervezas","Rocío Campo
Local Guide · 67 reseñas · 148 fotos






Hace 7 meses
Fuimos a este sitio gracias a las recomendaciones virales que le da tiktok.

El bar es pequeño, por lo que casi segura, te tocará sentarte en la terraza. Lugar donde si sois más de 6 no sois bienvenidos, no se pueden juntar mesas o estar en grupos de mas de 6.

Nosotros, que éramos 8, vimos estás reglas y nos sentamos en dos mesas diferentes para cumplir con las normas del lugar, sin ni siquiera moverlas para juntarlas.

El verdadero punto negativo fue el trato de sus camareros. El lugar es un sitio de autoservicio, por lo que cuando fuimos a la barra a pedir las bebidas, el camarero nos trató bastante mal, dejando caer entre lineas que no cumplíamos con las normas de su lugar por el hecho de ser 8 (por eso comenté que si sois mas de 6 no sois bienvenidos) y casi parecía que se negaba a atendernos. Todo el rato hablando con un tono algo agresivo.

A la hora de pagar, tampoco cumplen con los precios que aparecen en sus carteles ya que hizo un cálculo de lo que nos pareció de memoria y nos cobró un par de euros de más que si se sumaban los precios. Nos fiamos de su cabeza (muy mal hecho), así que si decides ir, comprueba muy bien ese cálculo antes de pagar. Tampoco dan ticket.

Lo único bueno que tiene este bar es que por 3.80 tienes un doble con una tapa grande.
Precio por persona
1-10 €
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Tapa Surtida y Tapas Y Cervezas
0:05

5

Compartir"
Nicolás Natiello,Local Guide · 152 reseñas · 269 fotos,5 estrellas,Excelente relación precio calidad. Con una cerveza te ponen una tapa considerable. Un lugar muy tranquilo para beber con amigos.,Hace una semana,1-10 €,3,4,5,,"Nicolás Natiello
Local Guide · 152 reseñas · 269 fotos






Hace una semana
NUEVA
Excelente relación precio calidad. Con una cerveza te ponen una tapa considerable. Un lugar muy tranquilo para beber con amigos.
Precio por persona
1-10 €
Comida: 3
Servicio: 4
Ambiente: 5

Me gusta

Compartir"
Rubens,Local Guide · 37 reseñas · 22 fotos,1 estrella,"Lo peor de lo peor. El camarero de la barra un borde, un mal educado y su higiene brilla por su ausencia. Suciedad en los platos y comida en mal estado. No entiendo la fama q tiene, será solo xq te ponen mucha comida ultraprocesada en las tapas. Autoservicio para pedir en la barra y en la terraza no puedes mover ni un poquito las mesas. Primero éramos 2 esperando a más gente y cuando llegaron nos dicen q más de seis personas no se puede, ni te dejan sentarte, vaya política de negocio. Nos íbamos a dejar más de 100€ solo en bebida y al ser 10 personas no nos han dejado, la primera vez q veo algo así. Q lastima de hombre. Espero q si vais, no os siente mal la comida.",Hace un mes,,1,1,1,,"Rubens
Local Guide · 37 reseñas · 22 fotos






Hace un mes
Lo peor de lo peor. El camarero de la barra un borde, un mal educado y su higiene brilla por su ausencia. Suciedad en los platos y comida en mal estado. No entiendo la fama q tiene, será solo xq te ponen mucha comida ultraprocesada en las tapas. Autoservicio para pedir en la barra y en la terraza no puedes mover ni un poquito las mesas. Primero éramos 2 esperando a más gente y cuando llegaron nos dicen q más de seis personas no se puede, ni te dejan sentarte, vaya política de negocio. Nos íbamos a dejar más de 100€ solo en bebida y al ser 10 personas no nos han dejado, la primera vez q veo algo así. Q lastima de hombre. Espero q si vais, no os siente mal la comida.
Comida: 1
Servicio: 1
Ambiente: 1

1

Compartir"
Isaac,5 reseñas · 5 fotos,1 estrella,"Hay una cola de miedo 😨. Tanto para conseguir mesa como para pedir.

muy bueno pero háganlo más grande.Muy bueno pero evitar ir a horas pico. Faltan mesas. Falta personal. Faltan papitas. Faltan manos.Subanle el sueldo al mesero para que sea amable. Sáquenle el jamón a las croquetas. Faltan baños.",Hace 6 meses,1-10 €,1,1,1,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Patatas Mixtas Sandwiches Mixtos Croquetas Y Dos Dobles de Cerveza","Isaac
5 reseñas · 5 fotos






Hace 6 meses
Hay una cola de miedo 😨. Tanto para conseguir mesa como para pedir.

muy bueno pero háganlo más grande.Muy bueno pero evitar ir a horas pico. Faltan mesas. Falta personal. Faltan papitas. Faltan manos.Subanle el sueldo al mesero para que sea amable. Sáquenle el jamón a las croquetas. Faltan baños.
Precio por persona
1-10 €
Comida: 1
Servicio: 1
Ambiente: 1
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Patatas Mixtas Sandwiches Mixtos Croquetas Y Dos Dobles de Cerveza
Comida vegetariana
Muy poca variedad de comida vegetariana.

1

Compartir"
Susana Benve,Local Guide · 48 reseñas · 96 fotos,5 estrellas,"Bar con autoservicio, buena tapa, cerveza fresquita. Atención amable y rápida.",Hace 4 meses,1-10 €,5,5,5,Tapas Y Dobles de Cerveza,"Susana Benve
Local Guide · 48 reseñas · 96 fotos






Hace 4 meses
Bar con autoservicio, buena tapa, cerveza fresquita. Atención amable y rápida.
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza

1

Compartir"
